"STATISTIC","Statistic Label","TLIST(A1)","Year","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","-","All reasons for journey","Thousand","5478"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","01","Holiday","Thousand","2516"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","02","Business","Thousand","554"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","03","Visiting friends/relatives","Thousand","1800"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2000","2000","01","Domestic","08","Other reasons","Thousand","607"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","-","All reasons for journey","Thousand","3768"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","01","Holiday","Thousand","2226"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","02","Business","Thousand","622"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","03","Visiting friends/relatives","Thousand","663"
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2000","2000","02","Outbound","08","Other reasons","Thousand","257"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","-","All reasons for journey","Thousand","6307"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","01","Holiday","Thousand","2902"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","02","Business","Thousand","652"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","03","Visiting friends/relatives","Thousand","2063"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2001","2001","01","Domestic","08","Other reasons","Thousand","690"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","-","All reasons for journey","Thousand","4162"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","01","Holiday","Thousand","2569"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","02","Business","Thousand","638"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","03","Visiting friends/relatives","Thousand","704"
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2001","2001","02","Outbound","08","Other reasons","Thousand","251"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","-","All reasons for journey","Thousand","6452"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","01","Holiday","Thousand","2819"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","02","Business","Thousand","583"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","03","Visiting friends/relatives","Thousand","2286"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2002","2002","01","Domestic","08","Other reasons","Thousand","763"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","-","All reasons for journey","Thousand","4597"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","01","Holiday","Thousand","2833"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","02","Business","Thousand","609"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","03","Visiting friends/relatives","Thousand","856"
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2002","2002","02","Outbound","08","Other reasons","Thousand","299"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","-","All reasons for journey","Thousand","6657"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","01","Holiday","Thousand","2933"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","02","Business","Thousand","619"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","03","Visiting friends/relatives","Thousand","2291"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","07","Sporting events","Thousand",""
